add-none,1,100000,200000,1321467,6,0
add-none,1,1000000,2000000,12714574,6,0
add-none,2,100,400,102666,256,0
add-none,2,1000,4000,161368,40,0
add-none,2,10000,40000,860153,21,160
add-none,2,100000,400000,6757375,16,1597
add-none,2,1000000,4000000,67212527,16,16160
add-none,4,100,800,151630,189,0
add-none,4,1000,8000,179132,22,4
add-none,4,10000,80000,1821317,22,494
add-none,4,100000,800000,18050024,22,4448
add-none,4,1000000,8000000,178450358,22,45026
add-yield-none,1,100,200,278768,1393,0
add-yield-none,1,1000,2000,1743281,871,0
add-yield-none,1,10000,20000,15823930,791,0
add-yield-none,1,100000,200000,157146244,785,0
add-yield-none,1,1000000,2000000,1536731353,768,0
add-yield-none,2,100,400,309326,773,0
add-yield-none,2,1000,4000,2063247,515,0
add-yield-none,2,10000,40000,18495649,462,0
add-yield-none,2,100000,400000,189797298,474,1
add-yield-none,2,1000000,4000000,1836877505,459,5
add-yield-none,4,100,800,365350,456,0
add-yield-none,4,1000,8000,2019923,252,1
add-yield-none,4,10000,80000,18933893,236,8
add-yield-none,4,100000,800000,187919521,234,27
add-yield-none,4,1000000,8000000,1880165236,235,2866
add-yield-m,2,10000,40000,57587758,1439,0
add-yield-m,4,10000,80000,137568580,1719,0
add-yield-m,8,10000,160000,268050596,1675,0
add-yield-m,12,10000,240000,427014648,1779,0
add-none,2,100,400,157112,392,0
add-none,2,1000,4000,186266,46,6
add-none,2,10000,40000,755956,18,174
add-none,2,100000,400000,6088375,15,1226
add-none,4,100,800,163676,204,0
add-none,4,1000,8000,197200,24,1
add-none,4,10000,80000,1871413,23,410
add-none,4,100000,800000,16353858,20,3376
add-none,8,100,1600,280264,175,0
add-none,8,1000,16000,545918,34,75
add-none,8,10000,160000,4205280,26,642
add-none,8,100000,1600000,40565263,25,6085
add-none,12,100,2400,494300,205,0
add-none,12,1000,24000,693059,28,112
add-none,12,10000,240000,7164049,29,757
add-none,12,100000,2400000,68380149,28,6768
add-yield-none,2,10,40,124311,3107,1
add-yield-none,4,10,80,191013,2387,1
add-yield-none,8,10,160,305600,1910,2
add-yield-none,12,10,240,427609,1781,3
add-yield-none,2,20,80,177210,2215,0
add-yield-none,4,20,160,208556,1303,1
add-yield-none,8,20,320,331627,1036,3
add-yield-none,12,20,480,418821,872,2
add-yield-none,2,40,160,202850,1267,1
add-yield-none,4,40,320,246612,770,0
add-yield-none,8,40,640,384995,601,3
add-yield-none,12,40,960,453428,472,2
add-yield-none,2,80,320,270847,846,0
add-yield-none,4,80,640,320284,500,0
add-yield-none,8,80,1280,419103,327,2
add-yield-none,12,80,1920,542226,282,2
add-yield-none,2,100,400,277730,694,1
add-yield-none,4,100,800,343007,428,3
add-yield-none,8,100,1600,411348,257,1
add-yield-none,12,100,2400,508587,211,4
add-yield-none,2,1000,4000,1959949,489,0
add-yield-none,4,1000,8000,2079043,259,1
add-yield-none,8,1000,16000,2336352,146,13
add-yield-none,12,1000,24000,2817924,117,20
add-yield-none,2,10000,40000,17993030,449,0
add-yield-none,4,10000,80000,18863963,235,36
add-yield-none,8,10000,160000,20601625,128,100
add-yield-none,12,10000,240000,25200045,105,150
add-yield-none,2,100000,400000,172710251,431,1
add-yield-none,4,100000,800000,184390229,230,202
add-yield-none,8,100000,1600000,198027291,123,839
add-yield-none,12,100000,2400000,250556599,104,1281
add-none,1,100,200,101605,508,0
add-none,1,1000,2000,162749,81,0
add-none,1,10000,20000,263103,13,0
add-none,1,100000,200000,1360142,6,0
add-none,1,1000000,2000000,12740096,6,0
